 ,pub_date,title,author,section,word_count,title_words,author,statistics,historical,geographic_focus,images,purpose,engagement,num_sources,cultural_relevance,geographic_scope,accessibility_focus ,us_based,global_local,article_images 
N021,12/31/2024,"Dada Masilo, Who. Fused Ballet With African Dance, Dies at 39",Isabella Kwai and Roslyn Sulcas,Africa ,974,11,long,N/A,1,1,1,1,1,1,3,3,0,0,0,1
N022,12/31/2024,Putin Declares 'Everything Will Be Fine' Despite Russia's Growinf Challenges ,Anatoly Kurmanaev,Europe ,938,10,long,N/A,1,1,1,1,1,2,2,3,0,0,1,1
N023,12/31/2024,F.B.I Says It Found Largest Cache of Homemade Explosives in Its History at Va. Farm,Alan Feuer,U.S,872,15,short,N/A,1,0,1,1,0,1,1,3,1,0,0,1
N024,12/31/2024,"As Confetti Rained on Time Square, Y2K Bug Was a No-Show ",Steve Lohr ,Times Insider,1132,11,short,N/A,0,0,1,1,1,1,2,2,1,0,1,1
N025,12/31/2024,"In Jab at Musk, Scholz Condemns Foreign Interference in German Election",Christopher F. Schuetze,Europe ,1380,11,long,N/A,1,1,1,1,1,1,3,1,1,1,0,1
N026,12/31/2024,"Aaron Brown, CNN Anchor During the Sept. 11 Attacks, Dies at 76",Ali Watkins,Media,1384,12,long,N/A,1,0,1,1,1,1,1,1,1,1,1,1
N027,12/31/2024,Victim of Coney Island Subway Immolation Is Identified by the Police,"Chelsia Rose Marcius, Andy Newman, and Shayla Colon",New York ,1271,11,long,N/A,0,0,1,1,0,1,2,3,1,1,1,1
N028,12/31/2024,Pulling Back From the Nuclear Brink ,N/A,Letters,932,6,N/A,N/A,1,0,1,1,1,2,3,3,1,1,1,1
N029,12/31/2024,Carter's Inner Struggle Between the Engineer and the Poet ,Joanathan Alter,Opinion ,812,9,short,N/A,0,0,1,1,1,1,2,1,1,1,0,1
N030,12/31/2024,Making a Cooking Resolution? These Recipes Will Get You Started,Tanya Sichynsky ,Food ,1210,10,long,N/A,0,0,1,1,1,2,1,1,1,1,1,0
N031,9/25/2025,"Trump Gets the Retribution He Sought, and Shatters Norms in the Process",ALAN FEUERJONAH E. BROMWICH and MAGGIE HABERMAN,politics,1242,12,long,politics,1,0,1,1,1,1,1,1,0,1,1,1
N032,9/26/25,Federal Bureau of Prisons Ends Union Protections for Workers,John Yoon,politics,1321,9,short,politics,1,0,1,1,0,1,2,1,0,1,1,1
N033,9/25/25,Justice Department Sues Six States Seeking Private Voter Data,NICK CORASANITI,politics,1528,9,long,politics,0,0,1,1,1,1,2,3,0,1,1,1
N034,9/25/25,Gambians Cheer U.S. Denial of Visas for Their Government Officials,RUTH MACLEAN and SAIKOU JAMMEH,politics,1273,10,long,politics,1,1,1,1,1,1,1,2,0,1,1,1
N035,9/25/25,Hegseth Is Said to Have Summoned U.S. Military Brass From Around the Globe,"ERIC SCHMITT, JOHN ISMAY, GREG JAFFE and HELENE COOPER",politics,1390,12,long,politics,1,0,1,1,0,1,2,2,0,1,1,1
N036,9/26/25,Israel Is Flattening Parts of Gaza City,SAMUEL GRANADOS and AARON BOXERMAN,world,937,7,long,world,1,1,1,1,1,1,2,1,0,1,1,1
N037,9/26/25,Britain Is Introducing a Digital ID. Here’s How It Is Expected to Work.,LYNSEY CHUTEL,world,832,13,short,world,0,1,1,1,1,1,2,2,1,0,1,1
N038,9/26/25,Thousands Protest in New York City During Netanyahu’s U.N. Speech,ANDY NEWMAN and OLIVIA BENSIMON,world,1428,10,long,world,1,0,1,1,1,2,1,2,1,1,0,1
N039,9/26/25,Israel’s isolation deepens with a wave of recognitions of Palestinian statehood.,AARON BOXERMAN,world,1389,11,long,world,1,1,1,1,1,2,3,2,1,1,0,0
N040,9/25/25,Postal Workers Walk Out After Canada Orders an End to Door-to-Door Delivery,VJOSA ISAI,world,1274,13,short,world,0,0,1,1,0,2,2,3,1,1,0,1
N041,9/26/25,"‘Face/Off,’ the Bonkers Blockbuster With Staying Power", MAYA SALAM,arts,1283,7,short,N/A,0,0,1,1,1,1,1,1,1,1,0,1
N042,9/26/25,‘One Battle After Another’ Is in VistaVision. Should You Care?, BRIAN JOSEPHS,arts,1382,10,long,N/A,0,0,1,1,1,2,2,2,1,1,0,1
N043,9/26/25,Five Science Fiction Movies to Stream Now,ELISABETH VINCENTELLI,arts,1528,7,long,N/A,0,0,1,1,0,1,1,2,1,0,0,1
N044,9/26/25,Correcting the Record on Women’s Experiences of War,LAURA CAPPELLE,arts,832,8,long,N/A,1,1,1,1,1,1,2,3,1,0,0,1
N045,9/26/25,‘Ruth & Boaz’ Review: A Modern Twist on a Biblical Romance,LISA KENNEDY,arts,942,11,long,N/A,1,0,1,1,1,1,2,3,1,0,1,1
N046,9/23/25,The Bears Are Back and They’re Fatter Than Ever, MADISON MALONE KIRCHER,lifestyle,825,9,long,N/A,0,0,1,1,1,2,3,3,1,1,0,1
N047,9/23/25,Why Take Tylenol During Pregnancy? The Risks of Fevers., MAGGIE ASTOR,lifestyle,1392,9,short,N/A,0,0,1,1,1,1,1,3,1,1,1,1
N048,9/26/25,These Smashed Chicken Meatballs Completely Wowed Me,GENEVIEVE KO,lifestyle,1524,7,short,N/A,0,0,1,1,0,1,1,2,1,1,0,1
N049,9/26/25,The Prada Guide to Dressing for Doomsday,VANESSA FRIEDMAN,lifestyle,1283,7,long,N/A,0,0,1,1,1,1,2,1,1,1,1,1
N050,9/26/25,Give Your Gums Some Love,JANCEE DUNN,lifestyle,938,5,short,N/A,0,0,1,1,0,2,3,3,1,0,0,1
N051,9/26/25,A.I.’s Environmental Impact Will Threaten Its Own Supply Chain,KATE CRAWFORDRYAN S. JEFFERY and ADAM WESTBROOK,opinion,926,8,long,N/A,0,0,1,1,1,1,1,2,1,0,1,0
N052,9/26/25,What I Learned as a Liberal Faculty Adviser for a Turning Point USA Chapter, NICHOLAS CREEL,opinion,824,14,short,N/A,0,0,1,1,0,1,1,3,1,1,0,0
N053,9/26/25,"Google Wins, We Lose",JULIA ANGWIN,opinion,1458,4,short,N/A,0,0,1,1,1,1,2,2,1,1,1,0
N054,9/26/25,China Is the Adult in the Room on Climate Now, LI SHUO,opinion,1342,10,short,N/A,0,1,1,1,1,1,1,1,1,0,0,0
N055,9/25/25,A.I. Isn’t Magic. Lots of People Are Acting Like It Is.,CODY DELISTRATY,opinion,1283,11,long,N/A,0,0,1,1,1,1,3,3,1,0,1,0
N056,9/26/25,Why Corporate America Is Caving to Trump,NOAM SCHEIBER,business,1528,7,long,buisness,0,1,1,1,0,1,1,1,1,0,0,1
N057,9/26/25,Microsoft Disables Some Services to Israel’s Defense Ministry,SHEERA FRENKEL,business,927,8,long,buisness,0,1,1,1,1,2,2,3,1,1,1,1
N058,9/26/25,Marketing Movies Is Harder Than Ever. And Here Comes ‘One Battle After Another.’,NICOLE SPERLING and BROOKS BARNES,business,951,13,long,buisness,0,0,1,1,1,1,3,1,0,1,0,1
N059,9/26/25,6 New Getaways Where You Can Delight in Autumn’s Charms,STEPHANIE ROSENBLOOM,business,837,10,long,buisness,0,0,1,1,0,1,1,2,1,1,0,1
N060,9/25/25,Countries Consider A.I.’s Dangers and Benefits at U.N.,STEVE LOHR,business,1392,8,short,buisness,0,1,1,1,1,2,2,3,0,1,0,1
N061,3/1/24,North Korea Missile Test Hints at Greater Menace to U.S. Bases,Choe San-Hung,politics,1428,11,long,politics,0,1,1,1,1,2,1,2,1,1,0,1
N062,3/1/24,"Israeli Strikes on Aid Convoy Prompts Condemnation and an Apology From Netanyahu
",Aaron Boxerman,politics ,896,12,long,politics,0,1,1,1,1,1,1,1,0,1,0,1
N063,3/1/24,Checks Out,Sam Corbin,gameplay ,938,2,short,N/A,0,0,1,1,1,1,2,2,1,1,0,1
N064,3/1/24,"Trump Gets Bond Deal to Ward Off $454 Million Judgment, for Now",Ben Protess,politics,969,12,short,politics,0,0,1,1,0,1,1,3,0,1,0,1
N065,3/1/24,Gag Order Against Trump Is Expanded to Bar Attacks on Judge’s Family,Jesse McKinley,politics ,1578,12,long,politics,0,0,1,1,1,2,2,3,1,1,1,1
N066,3/1/24,"Man Charged With Killing Officer Was Seen With Gun Beforehand, D.A. Says",Chelsea Rose Marcius,politics ,1295,12,long,politics,0,0,1,1,1,1,3,1,1,1,1,0
N067,3/1/24,We Want to Know: What’s Your No. 1 New York City Restaurant?,Nikita Richardson,lifestyle ,1328,12,long,N/A,0,0,1,1,0,1,1,3,0,1,1,1
N068,3/1/24,"In First Court Appearance, U.S.S. Cole Case Judge Sets Goal of 2025 Trial",Carol Rosenberg,politics ,926,13,long,politics,0,0,1,1,1,1,2,2,1,1,1,1
N069,3/1/24,Will MAGA Republicans Block Baltimore’s Rebuilding?,Paul Krugmen,politics,1271,6,long,politics,0,0,1,1,1,2,1,1,0,1,1,1
N070,3/1/24,How I Learned to Love the Rerun Election,Jesse Bidgood,politics,1281,8,long,politics,0,0,1,1,1,1,1,3,0,1,1,1
N071,3/1/24,Scottish Hate Crime Law Takes Effect as Critics Warn It Will Stifle Speech,Sopan Deb,politics,1374,13,short,politics,0,0,1,1,0,1,2,1,1,1,0,1
N072,3/1/24,Google to Delete Billions of Chrome Browser Records in Latest Settlement,Nico Grant,world,1285,11,short,world,0,0,1,1,1,1,1,1,0,1,0,1
N073,3/1/24,Florida’s Top Court Allowed a Six-Week Abortion Ban,Matthew Cullen,world,1732,8,short,world,0,0,1,1,0,1,1,3,1,1,0,1
N074,3/1/24,Warner Bros. Discovery Directors Step Down Amid Antitrust Inquiry,Benjamin Mullen,media,1429,9,short,N/A,0,0,1,1,1,2,1,3,0,0,1,1
N075,3/1/24,Mike Johnson Is Trying to Explain Simple Math to the Far Right,Michelle Cottle,politics,1528,12,short,politics,0,0,1,1,1,2,2,1,1,0,1,1
N076,3/1/24,"In Kyoto, Five Hotels to Add to Your Travel Wish List",John Wogan,lifestyle,1271,11,short,N/A,0,1,1,1,1,1,3,1,1,0,1,1
N077,3/1/24,Tuesday Briefing: Iran Said Israel Killed Top Generals,Amelia Nierenberg,politics,982,8,long,politics,0,1,1,1,1,1,2,3,1,0,0,1
N078,3/1/24,"Lou Conter, Last Survivor of the Battleship Arizona, Dies at 102",Richard Goldstein ,world,849,11,long,world,0,0,1,1,1,2,3,3,1,0,0,1
N079,3/1/24,3 Top Iranian Commanders Are Reported Killed in Israeli Strike in Syria,Farnaz Fassihi,politics,1179,12,long,politics,0,1,1,1,0,2,1,1,1,0,1,1
N080,3/1/24,Netanyahu Says Israel Will Shut Down Al Jazeera in Israel,Johnatan Reiss,world,1138,10,short,world,0,1,1,1,1,1,1,2,1,1,1,1
N081,3/1/24,"‘Pretty Big Bunny, Huh?’: Biden Hosts White House Easter Egg Roll",Erica L. Green,politics,1236,11,short,politics,0,0,1,1,0,1,3,3,1,1,1,1
N082,3/1/24,"Florida Court Allows 6-Week Abortion Ban, but Voters Will Get to Weigh In",Patricia Mazzei,politics,1149,13,short,politics,0,1,1,1,1,2,1,2,1,1,1,1
N083,3/1/24,Oregon Is Recriminalizing Drugs. Here’s What Portland Learned.,Mike Baker ,politics,1183,7,short,politics,0,0,1,1,1,1,1,2,1,0,1,1
N084,3/1/24,Unproductive Agriculture Is Holding Africa Back,Peter Coy,world,1283,6,short,world,0,1,1,1,1,2,2,2,1,0,1,1
N085,3/1/24,"Review: Millepied and Muhly, Partners in Space and Sound",Roslyn Sulcas,world,1238,9,short,world,0,0,1,1,0,1,3,3,1,0,1,1
N086,3/1/24,Trump Media Shares Slump as Early Fervor Fades,Joe Rennisen,politics,923,8,long,politics,0,0,1,1,1,2,2,1,1,0,1,0
N087,3/1/24,"There’s Valuable Speech on Social Media, Even for Kids",David French,world,1629,9,short,world,0,0,1,1,1,1,3,2,1,0,1,1
N088,3/1/24,Michael Stuhlbarg Is Attacked in Central Park Before ‘Patriots’ Debut,Julia Jacobs,politics,1324,10,short,politics,0,0,1,1,1,2,3,1,1,0,0,1
N089,3/1/24,Tropicana Las Vegas Closing Tuesday to Make Way for a Baseball Stadium,Johnny Diaz ,buisness,1439,12,short,buisness,0,0,1,1,1,1,2,2,1,0,0,1
N090,3/1/24,A Transgender Holiday Fell on Easter. Republicans Lashed Out at Biden.,Maggie Astor,politics,1283,10,short,politics,0,0,1,1,0,1,1,3,1,0,1,1
N091,3/1/24,2 Men Charged With Supplying Drugs That Killed Cecilia Gentili,Liam Stack,politics ,1372,10,short,politics ,0,0,1,1,1,2,1,2,1,0,0,1
N092,11/30/24,"Five Things to Know About Kash Patel, Trump's Pick to Lead the F.B.I",Elizabeth Williamson,Politics,1479,13,long,politics ,0,0,1,0,1,1,2,2,1,0,1,1
N093,11/30/2024,Trumo Picks a Florida Sheriff as D.E.A Administrator,Mark Walker,Politics,927,8,short,politics ,0,1,1,1,1,1,2,2,1,0,0,1
N094,11/30/2024,"No Corrections: Dec 1, 2024",N/A,Corrections,1484,4,N/A,N/A,0,0,1,1,1,1,1,2,1,1,1,0
N095,11/30/2024,A College Volleyball Team's Season in the /spitlight Comes to an End,Juliet Macir,U.S,1328,8,short,N/A,0,0,1,1,0,1,2,2,1,1,1,1
N096,11/30/2024,Trump Says He Will Nominate Kash Patel to Run F.B.I,Devin Barett and Maggie Haberman,Politics,1218,10,short,politics ,0,1,1,1,1,1,3,2,1,1,1,1
N097,11/30/2024,Tax Preparers Charged to Defraud Covid Relief of $65 Million,Adeel Hassan,U.S.,1137,9,short,N/A,1,1,1,1,1,1,1,1,1,1,1,1
N098,11/30/2024,Drive around the Block,Caitlin Lovinger,gameplay ,932,4,long,N/A,0,0,1,1,1,2,1,3,1,1,1,1
N099,11/30/2024,Trump Names Charles Kushner as Pick for Ambassador to France,Zach Montague,Politics,879,9,long,politics ,0,1,1,1,1,2,2,1,1,0,1,1
N100,11/30/2024,"Hal Lindsey, Author of 'The Late Great Planet Earth' Dies at 95",David Stout,Books,1628,12,short,N/A,0,0,1,1,0,1,3,3,1,1,1,1
N101,11/30/2024,Isreal Accuses World Central Worker of Role in Oct. 7 Attack,Tim Balk,Middle East,1136,10,short,N/A,1,1,1,1,1,2,1,2,0,0,1,1
N102,11/30/2024,U.S. Condemns China's Harsh Sentence for a Prominent Journalist,Edward Wong,Politics,1252,8,short,politics ,0,1,1,1,1,1,1,1,0,1,1,1
N103,11/30/2024,Cucumbers Are Recalled After Salmonella Sickens People in 19 States,Aimee Ortiz,Health,1438,10,short,N/A,0,0,1,1,0,1,3,1,0,0,1,1
N104,11/30/2024,"A. Cornelius Baker, Champion of H.I.V Testing, Dies at 63",Richard Sandomir,Health,1374,10,long,N/A,0,0,1,1,1,2,2,3,0,1,1,1
N105,11/30/2024,Northeast and Midwest Brace for More Snow From Great Lakes Storm,Isabelle Taft,U.S.,1148,11,short,N/A,0,0,1,1,1,2,3,2,0,1,1,1
N106,11/30/2024,Best Movies of 2024,Manohla Dargis and Alissa Wilkinson,Movies,1274,4,short,N/A,0,0,1,1,1,1,2,3,1,1,0,1
N107,11/30/2024,Best TV Shows of 2024,"James Poniewozik, Mike Hale and Margaret Lyons",Television,1372,5,short,N/A,0,0,1,1,1,1,3,3,1,1,0,1
N108,11/30/2024,This Was One of the Most Delicious Recipes We Have Made',Mia Leimkuhler,Food,1171,11,long,N/A,0,0,1,1,1,2,1,3,1,1,1,1
N109,11/30/2024,Saudi Arabia Leads Pushback Against Global Plastic Treaty,Hiroko Tabuchi,Climate,1368,8,long,N/A,1,1,1,1,0,1,1,1,1,1,1,1
N110,11/30/2024,"Russia Forges Ahead in Eastern Ukraine, Capturing More Villages",Constant Meheut,Europe,927,9,long,N/A,1,1,1,1,1,2,3,2,1,1,0,1
N111,11/30/2024,Note to Democrats: It's Time to Take Up Your Hammers,Binyamin Appelbaum,Opinion,1328,10,long,N/A,1,0,1,1,1,1,1,3,0,1,0,1
N112,11/30/2024,Why I'm Not Giving Up on American Democracy,Kati Marton,Opinion,1319,8,short,N/A,1,0,1,1,0,1,2,2,0,1,1,1
N113,11/30/2024,Reckoning With the Connection Between Brain Injuries and Criminal Behavior,Annie Liontas,Opinion,1258,9,short,N/A,0,0,1,1,1,1,3,1,0,1,1,1
N114,11/30/2024,A Job and Community Transform Refugees' Lives,Jessica Grose,Opinion,1264,7,short,N/A,1,1,1,1,1,2,1,2,1,1,0,1
N115,11/30/2024,New Orleans' Striking Advantage in the Age of Climate Change,Nathaniel Rich,Opinion,1417,10,long,N/A,0,1,1,1,1,1,2,3,1,1,0,0
N116,11/30/2024,"How Our Messes-Up Dating Culture Leads to Loneliness, Anger, and Donald Trump",Sarah Bernstein,Opinion,1251,12,long,N/A,0,0,1,1,1,1,1,3,1,1,0,1
N117,11/30/2024,Isreal Strikes Sites in Lebanon Amid Fragile Cease-Fire,Liam Stack,Middle East,1379,8,short,N/A,1,1,1,1,1,2,1,3,1,0,0,1
N118,11/30/2024,Giving Love,Hannah Morrill,Briefing,1256,2,short,N/A,0,0,1,1,1,1,1,3,0,0,0,1
N119,11/30/2024,"For Canada, Trade Tumult From Trump's Return Has Begun",Ian Austen,Canada,1197,9,short,N/A,1,0,1,1,1,1,2,3,0,0,0,1
N120,11/30/2024,The Connections Companion No. 539,New York Time Games,Gameplay ,839,4,N/A,N/A,0,0,1,0,1,1,1,3,0,0,1,1
N121,11/30/2024,"Wordle Review No. 1,261",New York Time Games,Gameplay ,938,4,N/A,N/A,0,0,1,0,1,2,2,3,1,,1,0
